feature,VIF
Feat 52,1.0000560188069347
Feat 135,1.000055732695846
Feat 181,1.0000553595427617
Feat 131,1.0000550564163788
Feat 187,1.000054632428095
Feat 103,1.0000539304928535
Feat 63,1.0000519533190475
Feat 72,1.0000516467717644
Feat 117,1.0000515425531769
Feat 205,1.0000509681206038
Feat 71,1.000050959837157
Feat 61,1.00005089427172
Feat 225,1.0000494064381227
Feat 100,1.0000481121804818
Feat 129,1.0000469438228157
Feat 158,1.0000461162750622
Feat 76,1.0000457794959725
Feat 212,1.0000457788780113
Feat 127,1.0000433447363188
Feat 172,1.0000430497644046
Feat 201,1.0000423309150326
Feat 197,1.0000384773655122
Feat 118,1.0000381615688307
Feat 200,1.000036126719878
Feat 194,1.0000353266441426
Feat 1,1.000034244331481
Feat 77,1.000033208196965
Feat 180,1.0000318500076373
Feat 113,1.0000308703033527
Feat 104,1.0000303783453535
Feat 203,1.000029508287858
Feat 207,1.0000288539799116
Feat 191,1.0000284602099918
Feat 145,1.000026095213676
Feat 116,1.0000259297812775
Feat 94,1.000024464975543
Feat 219,1.0000242674318915
Feat 87,1.0000228756653133
Feat 217,1.0000216106209268
Feat 157,1.0000202239070406
Feat 79,1.0000188288362537
Feat 171,1.0000184769018745
Feat 173,1.0000172967767111
Feat 161,1.0000172514733492
Feat 123,1.0000171628101835
Feat 215,1.0000167229703807
Feat 223,1.0000166190618829
Feat 218,1.0000162754636757
Feat 141,1.0000160921141905
Feat 70,1.0000156744516941
Feat 210,1.0000153943380639
Feat 160,1.000015387490348
Feat 202,1.0000146724765901
Feat 138,1.0000137105420288
Feat 185,1.0000135704329363
Feat 121,1.0000123624157284
Feat 97,1.0000123138906738
Feat 124,1.0000121106650908
Feat 58,1.0000119860993937
Feat 119,1.0000119284951294
Feat 213,1.0000115273458592
Feat 176,1.0000110387140968
Feat 142,1.0000106318055206
Feat 211,1.0000103706270267
Feat 114,1.000010212015543
Feat 206,1.0000101875943939
Feat 222,1.0000099773979252
Feat 167,1.0000097894613242
Feat 49,1.0000095212245605
Feat 182,1.0000084221711276
Feat 88,1.000008279145317
Feat 226,1.0000078815144235
Feat 165,1.000007844575873
Feat 199,1.0000068337853227
Feat 93,1.0000065000949334
Feat 146,1.0000063405060093
Feat 148,1.0000062826655522
Feat 156,1.0000062252037294
Feat 175,1.000006155085807
Feat 214,1.000006110211739
Feat 125,1.0000060547651748
Feat 198,1.0000057092959873
Feat 220,1.0000050084443186
Feat 96,1.0000049353438172
Feat 92,1.0000048362707257
Feat 155,1.0000046613702516
Feat 132,1.0000039266948282
Feat 39,1.0000037354007765
Feat 204,1.0000036425887482
Feat 224,1.0000034519122403
Feat 190,1.000003325916266
Feat 122,1.000003124042866
Feat 163,1.000003088328592
Feat 73,1.0000030372934943
Feat 193,1.0000030242897782
Feat 147,1.0000029568204023
Feat 101,1.0000028181936518
Feat 221,1.0000025138636066
Feat 105,1.0000025036694615
Feat 208,1.0000023188027756
Feat 66,1.0000022821148027
Feat 152,1.000002083173488
Feat 183,1.0000018896123462
Feat 189,1.0000017008508055
Feat 74,1.00000166918879
Feat 151,1.0000015162716476
Feat 186,1.0000014965170307
Feat 134,1.0000013587753631
Feat 85,1.0000011740220331
Feat 178,1.00000116229546
Feat 195,1.0000009854526766
Feat 120,1.0000008883066502
Feat 102,1.0000008534387965
Feat 115,1.0000008143522725
Feat 216,1.000000554617613
Feat 69,1.0000004002813385
Feat 177,1.0000003056519164
Feat 170,1.0000001829979064
Feat 153,1.0000001415529338
Feat 188,1.0000001189011811
Feat 106,1.000000088521071
Feat 164,1.0000000466491952
Feat 169,1.0000000428754048
Feat 99,1.0000000252120944
Feat 179,1.000000017934413
Feat 162,1.0000000066777819
